task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
35,m2p_p40ls2p5_i04_s3,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,3,900,4,6,data/generated/calib_a/wksat_v150_k3_sr5.00_hr0.00_w1_uniform_s3.wcnf,1bd61c544756086435e145f38cad51c8ca28898ff76478a941a19128c331dabb,calib_a,max3sat_n150_a5,3,750,3,772.234,T3,upper_ext
36,m2p_p10ls2p5_i04_s3,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,4,6,data/generated/calib_a/wksat_v150_k3_sr5.00_hr0.00_w1_uniform_s3.wcnf,1bd61c544756086435e145f38cad51c8ca28898ff76478a941a19128c331dabb,calib_a,max3sat_n150_a5,3,750,3,772.234,T3,upper_ext
37,m2p_p40ls0p5_i05_s1,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,1,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
38,m2p_p40ls2p5_i05_s1,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,1,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
39,m2p_p10ls2p5_i05_s1,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
40,m2p_p10ls3p5_i05_s1,pilot,p10_ls3p5,memetic_deeppolish_p10_ls3p5,configs/tier2/memetic_deeppolish_p10_ls3p5.yaml,10,3.5,clip,1,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
41,m2p_p40ls0p5_i05_s2,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,2,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
42,m2p_p40ls2p5_i05_s2,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,2,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
43,m2p_p10ls2p5_i05_s2,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
44,m2p_p10ls3p5_i05_s2,pilot,p10_ls3p5,memetic_deeppolish_p10_ls3p5,configs/tier2/memetic_deeppolish_p10_ls3p5.yaml,10,3.5,clip,2,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
45,m2p_p40ls0p5_i05_s3,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,3,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
46,m2p_p40ls2p5_i05_s3,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,3,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
47,m2p_p10ls2p5_i05_s3,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
48,m2p_p10ls3p5_i05_s3,pilot,p10_ls3p5,memetic_deeppolish_p10_ls3p5,configs/tier2/memetic_deeppolish_p10_ls3p5.yaml,10,3.5,clip,3,900,5,48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,2,920,23,367.162,T2b,tier2
