task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
25,m2f_p10ls2p5_009_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,9,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s4.wcnf,be4183b0bd4dbeab650cc5a709ddacfd03be88ce4f27182aa31521b4ca2b366a,calib_a,max3sat_n250_a4.26,4,1065,1,387.757,T2b,tier2
26,m2f_p10ls2p5_009_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,9,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s4.wcnf,be4183b0bd4dbeab650cc5a709ddacfd03be88ce4f27182aa31521b4ca2b366a,calib_a,max3sat_n250_a4.26,4,1065,1,387.757,T2b,tier2
27,m2f_p10ls2p5_009_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,9,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s4.wcnf,be4183b0bd4dbeab650cc5a709ddacfd03be88ce4f27182aa31521b4ca2b366a,calib_a,max3sat_n250_a4.26,4,1065,1,387.757,T2b,tier2
28,m2f_p10ls2p5_010_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,10,data/generated/calib_a/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s1.wcnf,abb88ca9401ae98316aa7135c98d60f671c4cf91531bebb51152705438c4a229,calib_a,max2sat_n400_a2,1,800,18,42.963,T1,lower_ext
29,m2f_p10ls2p5_010_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,10,data/generated/calib_a/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s1.wcnf,abb88ca9401ae98316aa7135c98d60f671c4cf91531bebb51152705438c4a229,calib_a,max2sat_n400_a2,1,800,18,42.963,T1,lower_ext
30,m2f_p10ls2p5_010_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,10,data/generated/calib_a/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s1.wcnf,abb88ca9401ae98316aa7135c98d60f671c4cf91531bebb51152705438c4a229,calib_a,max2sat_n400_a2,1,800,18,42.963,T1,lower_ext
31,m2f_p10ls2p5_011_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,11,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s1.wcnf,6c42f48dd5be35d928c1a529c6941dcf3cabeff4b5391eed718aff57a0d3f4a3,calib_a,max3sat_n50_a8,1,400,10,65.659,T2a,tier2
32,m2f_p10ls2p5_011_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,11,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s1.wcnf,6c42f48dd5be35d928c1a529c6941dcf3cabeff4b5391eed718aff57a0d3f4a3,calib_a,max3sat_n50_a8,1,400,10,65.659,T2a,tier2
33,m2f_p10ls2p5_011_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,11,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s1.wcnf,6c42f48dd5be35d928c1a529c6941dcf3cabeff4b5391eed718aff57a0d3f4a3,calib_a,max3sat_n50_a8,1,400,10,65.659,T2a,tier2
34,m2f_p10ls2p5_012_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,12,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s2.wcnf,308041817cf320b05bb62a0225928a6c600855e2f9fa5b153966fee2096921fa,calib_a,max3sat_n50_a8,2,400,10,88.686,T2a,tier2
