instance,family,bench_dir,size_mb,tier,profile.completed,profile.status,profile.solve_s,profile.cap_s,over_cap,profile.final_cost,profile.cost_lower_bound,ratio,lb_ratio,profile.solver,profile.error,tier_reason,_source_file,stem
data/raw/mse_2024/mse23-uw-small/bcp-SU3__simp-genos.haps.9.wcnf,bcp,mse23-uw-small,1.8854,T3,False,subprocess_killed,1920.108,1800.0,True,,103.0,,0.9717,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_2.jsonl,bcp-SU3__simp-genos.haps.9
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-hit-B-3-stb_390_450.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.0847,T3,False,subprocess_killed,1920.104,1800.0,True,,45.0,,1.0,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_20.jsonl,inconsistency-measurement-im-hit-B-3-stb_390_450.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-hit-C-1-grd_3018_3_7.tgf.pl.wcnf,inconsistency,mse23-uw-small,3.0924,T3,False,subprocess_killed,1920.104,1800.0,True,,375.0,,0.7036,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_21.jsonl,inconsistency-measurement-im-hit-C-1-grd_3018_3_7.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-sum-B-2-stb_330_291.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.2713,T3,False,subprocess_killed,1920.103,1800.0,True,,35.0,,0.9722,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_22.jsonl,inconsistency-measurement-im-sum-B-2-stb_330_291.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-sum-B-3-stb_327_100.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.2678,T3,False,subprocess_killed,1920.104,1800.0,True,,36.0,,0.9231,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_23.jsonl,inconsistency-measurement-im-sum-B-3-stb_327_100.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-sum-B-3-stb_339_393.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.3566,T3,False,subprocess_killed,1920.105,1800.0,True,,51.0,,0.9107,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_24.jsonl,inconsistency-measurement-im-sum-B-3-stb_339_393.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-sum-B-3-stb_696_368.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.3272,T3,False,subprocess_killed,1920.104,1800.0,True,,55.0,,0.6548,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_25.jsonl,inconsistency-measurement-im-sum-B-3-stb_696_368.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-sum-C-1-grd_1222_5_4.tgf.pl.wcnf,inconsistency,mse23-uw-small,3.1004,T3,False,timeout,1895.214,1800.0,True,,148.0,,0.6789,rc2,timeout,timeout,mse23_full_arr_task_26.jsonl,inconsistency-measurement-im-sum-C-1-grd_1222_5_4.tgf.pl
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000071.wcnf,judgment,mse23-uw-small,3.6292,T3,False,subprocess_killed,1920.105,1800.0,True,,45.0,,1.0,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_27.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000071
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000157.wcnf,judgment,mse23-uw-small,2.9507,T3,False,subprocess_killed,1920.104,1800.0,True,,49.0,,0.9608,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_28.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000157
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000253.wcnf,judgment,mse23-uw-small,1.8787,T3,False,subprocess_killed,1920.056,1800.0,True,,45.0,,0.9783,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_29.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000253
data/raw/mse_2024/mse23-uw-small/decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,decision,mse23-uw-small,4.0065,T3,False,subprocess_killed,1920.11,1800.0,True,,,,,rc2,subprocess_killed_at_cap+120.0s,subprocess_killed_at_cap+120.0s,mse23_full_arr_task_3.jsonl,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000260.wcnf,judgment,mse23-uw-small,3.9605,T3,False,subprocess_killed,1920.029,1800.0,True,,47.0,,0.94,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_30.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000260
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000293.wcnf,judgment,mse23-uw-small,2.8171,T3,True,optimal,1313.759,1800.0,False,43.0,43.0,1.0,1.0,rc2,,solve_s>600.0 (cap misconfigured?),mse23_full_arr_task_31.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000293
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000295.wcnf,judgment,mse23-uw-small,2.374,T3,False,subprocess_killed,1920.11,1800.0,True,,49.0,,0.9245,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_32.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000295
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000316.wcnf,judgment,mse23-uw-small,1.6668,T3,False,subprocess_killed,1920.113,1800.0,True,,49.0,,0.9608,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_33.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000316
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000333.wcnf,judgment,mse23-uw-small,2.2299,T3,False,subprocess_killed,1920.11,1800.0,True,,49.0,,0.9608,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_34.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000333
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000338.wcnf,judgment,mse23-uw-small,2.2299,T3,False,subprocess_killed,1920.111,1800.0,True,,49.0,,0.9423,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_35.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000338
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000385.wcnf,judgment,mse23-uw-small,0.9349,T2a,True,optimal,65.029,1800.0,False,37.0,37.0,1.0,1.0,rc2,,60.0<solve_s<=300.0,mse23_full_arr_task_36.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000385
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000390.wcnf,judgment,mse23-uw-small,2.2298,T3,False,subprocess_killed,1920.111,1800.0,True,,49.0,,0.9423,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_37.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000390
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000444.wcnf,judgment,mse23-uw-small,1.5405,T3,False,subprocess_killed,1920.11,1800.0,True,,49.0,,0.9423,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_38.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000444
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000486.wcnf,judgment,mse23-uw-small,3.095,T3,False,subprocess_killed,1920.112,1800.0,True,,50.0,,0.9259,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_39.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000486
data/raw/mse_2024/mse23-uw-small/extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,extension,mse23-uw-small,3.3091,T3,False,subprocess_killed,1920.118,1800.0,True,,6.0,,0.6,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_4.jsonl,extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_1
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000492.wcnf,judgment,mse23-uw-small,2.8067,T3,False,subprocess_killed,1920.111,1800.0,True,,46.0,,0.9787,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_40.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000492
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000512.wcnf,judgment,mse23-uw-small,3.6718,T3,False,subprocess_killed,1920.116,1800.0,True,,51.0,,0.9444,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_41.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000512
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000517.wcnf,judgment,mse23-uw-small,3.96,T3,False,subprocess_killed,1920.115,1800.0,True,,50.0,,0.9091,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_42.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000517
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-maxham-preflib-00049-00000540.wcnf,judgment,mse23-uw-small,3.3006,T3,False,subprocess_killed,1920.108,1800.0,True,,46.0,,0.9388,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_43.jsonl,judgment-aggregation-ja-maxham-preflib-00049-00000540
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-slater-preflib-00049-00000135.wcnf,judgment,mse23-uw-small,3.8401,T3,False,subprocess_killed,1920.109,1800.0,True,,222.0,,0.9024,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_44.jsonl,judgment-aggregation-ja-slater-preflib-00049-00000135
data/raw/mse_2024/mse23-uw-small/judgment-aggregation-ja-slater-preflib-00049-00000405.wcnf,judgment,mse23-uw-small,3.2483,T3,False,subprocess_killed,1920.109,1800.0,True,,255.0,,0.9173,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_45.jsonl,judgment-aggregation-ja-slater-preflib-00049-00000405
